"id","loan_amnt","funded_amnt","term","int_rate","installment","emp_length","home_ownership","annual_inc","loan_status","purpose","addr_state","dti","delinq_2yrs","earliest_cr_line","mths_since_last_delinq","open_acc","revol_bal","total_acc","out_prncp","total_pymnt","total_rec_prncp","total_rec_int","wtd_loans","interest_rate","int_rate2","num_rate","numrate"
1153863,6000,6000," 36 months","16.29%",211.81,"3 years","RENT",50000,"Charged Off","credit_card","WI",12.1,0,"1992-11-27 10:56:00",39,8,4662,26,0,3170.7,2148.23,1022.47,,,"16.29%",,
1156752,20000,20000," 60 months","12.12%",446.11,"6 years","RENT",42000,"Late (31-120 days)","debt_consolidation","NY",16.97,0,"2001-10-14 01:18:00",,11,8337,21,14034.4,9790.44,5965.6,3824.84,,,"12.12%",,
1159899,25000,25000," 60 months","15.31%",598.83,"1 year","MORTGAGE",80000,"Late (16-30 days)","credit_card","OH",11.88,0,"1999-06-20 08:04:00",,14,29045,22,18326.28,12574.63,6673.72,5900.91,,,"15.31%",,
1162420,35000,35000," 60 months","23.33%",993.32,"8 years","RENT",92436.99,"Charged Off","debt_consolidation","UT",12.4,0,"1992-08-07 10:07:00",29,14,22933,32,0,8937.58,3032.66,5904.92,,,"23.33%",,
1166679,11500,11500," 36 months","7.62%",358.36,"5 years","RENT",35400,"Charged Off","debt_consolidation","OK",11.05,0,"2000-05-31 05:00:00",,12,14793,22,0,6713.59,6572.18,141.41,,,"7.62%",,
1170425,10000,10000," 60 months","13.99%",232.64,"6 years","RENT",39000,"Default","debt_consolidation","NC",14.52,0,"2004-01-24 05:59:00",,9,6167,16,7694.39,4180.5,2305.61,1874.89,,,"13.99%",,
1173918,13000,13000," 36 months","12.12%",432.54,"7 years","RENT",27000,"Charged Off","debt_consolidation","CA",14.22,0,"2002-06-24 01:56:00",,5,12910,8,0,7999.31,6340.34,1637.75,,,"12.12%",,
1187283,16000,16000," 36 months","18.25%",580.45,"7 years","MORTGAGE",41850,"Late (31-120 days)","debt_consolidation","UT",21.1,0,"1999-06-21 06:22:00",,6,14057,15,9099.51,10446.1,6900.49,3545.61,,,"18.25%",,
1191951,10000,10000," 36 months","6.03%",304.36,"9 years","RENT",60000,"Charged Off","debt_consolidation","IL",3.36,0,"1996-06-06 09:33:00",49,7,5959,31,0,4564.2,3947.65,616.55,,,"6.03%",,
1192787,30000,30000," 60 months","22.45%",836.27,"4 years","RENT",90000,"Late (31-120 days)","house","MA",18.4,0,"2002-02-05 09:09:00",55,11,10800,34,23021.95,17559.06,6978.05,10581.01,,,"22.45%",,
1196393,11875,11875," 36 months","6.03%",361.43,"10+ years","MORTGAGE",32886,"Charged Off","debt_consolidation","FL",20.8,0,"1986-09-29 11:20:00",,16,23490,42,0,3612,3084.77,527.23,,,"6.03%",,
1199275,4200,4200," 36 months","6.62%",128.96,"2 years","RENT",85000,"Default","other","FL",11.42,0,"1993-01-28 08:13:00",,11,19623,37,1972.28,2531.25,2227.72,303.53,,,"6.62%",,
1215978,2700,2700," 60 months","20.50%",72.29,"< 1 year","OWN",30000,"Late (31-120 days)","other","NY",7.88,0,"2007-09-22 07:43:00",,5,5528,7,2159.62,1334.17,540.38,778.82,,,"20.50%",,
1224624,27300,27300," 60 months","21.48%",745.95,"n/a","RENT",56000,"Charged Off","debt_consolidation","VA",18.75,0,"1988-03-12 03:32:00",61,11,23713,24,0,6711.84,2487.79,4224.05,,,"21.48%",,
1238860,6000,6000," 36 months","7.90%",187.75,"1 year","OWN",30000,"Late (31-120 days)","small_business","GA",8.35,0,"2006-09-10 08:36:00",,20,1386,22,3012.19,3564.59,2987.81,576.78,,,"7.90%",,
1241624,6000,6000," 36 months","13.99%",205.04,"1 year","RENT",102500,"Charged Off","debt_consolidation","WA",9.87,0,"2003-10-27 01:20:00",42,11,10019,20,0,1843.38,1272.71,570.67,,,"13.99%",,
1242216,16000,16000," 36 months","15.31%",557.08,"10+ years","MORTGAGE",119000,"Default","credit_card","SC",9.99,0,"1988-12-29 02:03:00",,21,55121,38,7696.88,10001.52,8303.12,1698.4,,,"15.31%",,
1248735,8000,8000," 36 months","12.12%",266.18,"10+ years","MORTGAGE",65000,"Late (31-120 days)","home_improvement","NC",23.78,0,"1979-02-09 08:41:00",69,7,1083,45,3919.52,5316.6,4080.49,1236.11,,,"12.12%",,
1251816,6000,6000," 36 months","7.62%",186.97,"< 1 year","RENT",55000,"Late (31-120 days)","small_business","DC",26.81,0,"1997-01-06 12:53:00",,18,6994,31,3176.9,3358.08,2823.11,534.97,,,"7.62%",,
1252575,7600,7600," 60 months","23.33%",215.7,"10+ years","RENT",100000,"Late (31-120 days)","debt_consolidation","TX",12.32,0,"2004-06-28 07:49:00",,10,9894,18,6161.94,3881.69,1438.06,2443.63,,,"23.33%",,
1255139,10000,10000," 36 months","12.12%",332.72,"4 years","OWN",24500,"Charged Off","other","TX",17.53,0,"2005-02-27 05:20:00",,11,7528,23,0,5423.39,3998.8,1424.59,,,"12.12%",,
1255925,2500,2500," 36 months","14.65%",86.24,"n/a","MORTGAGE",50000,"Charged Off","other","OH",19.39,1,"1997-05-08 02:08:00",2,9,872,22,0,1118.78,778.23,340.55,,,"14.65%",,
1267319,25000,25000," 36 months","10.74%",815.4,"6 years","RENT",56000,"Charged Off","debt_consolidation","CA",11.38,0,"2005-06-02 03:16:00",,16,3960,24,0,4558.5,2397.24,862.56,,,"10.74%",,
1280467,8000,8000," 36 months","13.67%",272.15,"< 1 year","RENT",33500,"Charged Off","other","NJ",23.5,0,"2000-01-29 08:32:00",,5,27151,6,0,3265.2,2313.18,952.02,,,"13.67%",,
1281513,23325,23325," 60 months","23.26%",661.04,"10+ years","RENT",47000,"Charged Off","debt_consolidation","OR",22.4,0,"1999-05-15 04:51:00",,11,33483,32,0,9254.25,3310.95,5905.85,,,"23.26%",,
1282099,10800,10800," 36 months","13.11%",364.47,"n/a","RENT",34000,"Charged Off","medical","CA",4.09,0,"2002-01-30 07:07:00",,5,3903,12,0,4464.56,2857.74,1142.19,,,"13.11%",,
1284927,27000,27000," 60 months","19.99%",715.19,"1 year","RENT",110000,"Charged Off","debt_consolidation","CA",15.48,1,"1997-09-24 02:07:00",17,6,1141,21,0,10718.1,4476.65,6241.45,,,"19.99%",,
1307018,23000,23000," 36 months","14.65%",793.37,"9 years","RENT",48401,"In Grace Period","debt_consolidation","AZ",22.34,0,"2001-01-16 01:19:00",47,12,19786,31,11478,15853.2,11522.01,4331.19,,,"14.65%",,
1310390,18000,18000," 60 months","20.50%",481.92,"6 years","MORTGAGE",50000,"Late (31-120 days)","debt_consolidation","TX",18.12,0,"1995-11-08 09:12:00",51,11,3679,52,14584.74,8697.98,3415.26,5282.72,,,"20.50%",,
1324189,10000,10000," 36 months","12.12%",332.72,"8 years","RENT",32000,"Charged Off","debt_consolidation","NY",13.31,0,"2006-10-28 05:50:00",,10,6160,15,0,4653.6,3462.57,1191.03,,,"12.12%",,
1327700,10000,10000," 36 months","15.31%",348.18,"8 years","RENT",30600,"Charged Off","debt_consolidation","NJ",3.84,0,"2001-07-28 08:03:00",69,4,3739,6,0,5220.45,3619.89,1600.56,,,"15.31%",,
1331033,20500,20500," 60 months","17.99%",520.46,"1 year","OWN",41000,"Charged Off","debt_consolidation","IL",20.49,0,"2001-01-30 06:32:00",,6,19478,12,0,7826.92,3552.15,4248.77,,,"17.99%",,
1338029,10000,10000," 36 months","15.81%",350.64,"10+ years","MORTGAGE",40000,"Charged Off","debt_consolidation","FL",21.59,0,"1997-03-26 04:25:00",,13,9084,13,0,4908.41,3234.95,1655.95,,,"15.81%",,
1340757,6000,6000," 36 months","13.67%",204.11,"9 years","RENT",25000,"Late (31-120 days)","medical","OR",7.87,0,"1999-10-12 04:28:00",,4,4807,6,3139.35,3876.57,2860.65,1015.92,,,"13.67%",,
1342347,7300,7300," 36 months","13.67%",248.33,"< 1 year","MORTGAGE",48000,"Charged Off","credit_card","TX",16.28,1,"1981-09-17 09:44:00",16,9,7021,17,0,3724.35,2684.79,1039.56,,,"13.67%",,
1344834,8000,8000," 36 months","13.99%",273.39,"1 year","RENT",65000,"Charged Off","debt_consolidation","WA",33.95,0,"2006-01-09 08:08:00",,19,21632,23,0,722.54,179.95,93.18,,,"13.99%",,
1350197,8800,8800," 36 months","15.31%",306.4,"< 1 year","RENT",18000,"Charged Off","medical","IL",29.2,0,"1998-08-21 03:49:00",61,12,4434,26,0,3156.27,1838.47,918.32,,,"15.31%",,
1352331,20000,20000," 36 months","7.62%",623.23,"10+ years","MORTGAGE",70000,"Charged Off","debt_consolidation","MA",12.27,0,"1983-07-12 08:46:00",,10,4738,21,0,8711.08,7229.64,1481.44,,,"7.62%",,
1357234,4500,4500," 36 months","19.22%",165.46,"< 1 year","RENT",40000,"Charged Off","debt_consolidation","MI",7.35,0,"2001-05-10 06:52:00",,3,6394,7,0,1531.9,787.46,531.42,,,"19.22%",,
1357660,17500,17500," 36 months","7.90%",547.58,"9 years","MORTGAGE",51866.93,"Charged Off","debt_consolidation","TX",29.5,0,"1997-10-28 04:28:00",,16,16658,25,0,1094.76,867.27,227.49,,,"7.90%",,
1368587,31800,31800," 36 months","21.97%",1213.97,"8 years","RENT",125000,"Charged Off","renewable_energy","CA",17.89,1,"2000-05-19 07:05:00",19,16,32500,24,0,11223.83,5386.88,4319.04,,,"21.97%",,
1375044,6000,6000," 36 months","12.12%",199.63,"5 years","RENT",45000,"Charged Off","debt_consolidation","CA",5.55,0,"2007-08-15 03:14:00",,7,7378,10,0,535.48,138.77,60.49,,,"12.12%",,
1375445,25900,25900," 36 months","19.99%",962.41,"10+ years","RENT",89232,"Charged Off","debt_consolidation","CA",3.23,0,"2002-11-09 07:09:00",,7,17718,9,0,4327.19,1608.84,1275.32,,,"19.99%",,
1378620,6300,6300," 36 months","15.31%",219.35,"4 years","MORTGAGE",43000,"Charged Off","credit_card","MO",23.83,0,"2006-04-24 06:28:00",,8,7161,13,0,1643.38,858.8,456.96,,,"15.31%",,
1389699,4325,4325," 36 months","17.77%",155.87,"2 years","MORTGAGE",42968,"Charged Off","debt_consolidation","MI",19.61,0,"2001-02-24 02:05:00",,8,2614,11,0,548.86,184.81,126.59,,,"17.77%",,
1393592,11700,11700," 36 months","18.49%",425.87,"9 years","RENT",35000,"Charged Off","debt_consolidation","VA",34.46,0,"2006-01-31 04:37:00",40,10,1708,20,0,4361.04,2346.33,1477.95,,,"18.49%",,
1394620,8975,8975," 36 months","15.31%",312.49,"10+ years","RENT",89000,"Charged Off","small_business","FL",11.21,7,"1991-07-19 01:50:00",8,9,1400,39,0,2499.68,1656.27,843.41,,,"15.31%",,
1410563,28000,28000," 60 months","23.76%",801.61,"10+ years","MORTGAGE",130000,"Late (31-120 days)","debt_consolidation","GA",26.39,1,"1999-09-15 07:49:00",4,19,70946,34,23448.17,12812.29,4551.83,8260.46,,,"23.76%",,
1411006,6000,6000," 36 months","16.29%",211.81,"2 years","OWN",35000,"Charged Off","credit_card","IL",28.83,2,"1997-08-27 08:14:00",22,16,16868,34,0,1409.92,531.27,564.25,,,"16.29%",,
1411796,18000,18000," 36 months","14.33%",618.09,"6 years","RENT",76760,"Late (31-120 days)","debt_consolidation","MD",26.89,1,"2007-01-07 11:47:00",10,8,5707,14,11432.81,9865.03,6567.19,3266.99,,,"14.33%",,
1412457,10000,10000," 36 months","17.77%",360.38,"10+ years","RENT",35000,"Late (31-120 days)","debt_consolidation","NC",24.21,0,"2006-04-12 05:22:00",,9,10098,11,5691.02,6541.72,4308.98,2232.74,,,"17.77%",,
1422072,9600,9600," 36 months","16.29%",338.89,"2 years","RENT",40000,"Late (31-120 days)","credit_card","CA",20.82,0,"2006-09-14 07:32:00",,7,9729,9,5647.08,5753.48,3952.92,1800.56,,,"16.29%",,
1427809,9600,9600," 36 months","15.31%",334.25,"2 years","RENT",75000,"Charged Off","debt_consolidation","MD",12.93,0,"2007-11-21 09:14:00",,6,12562,9,0,1837.76,863.15,473.41,,,"15.31%",,
1431019,30925,30925," 60 months","21.98%",853.77,"10+ years","MORTGAGE",134000,"Charged Off","debt_consolidation","UT",20.3,0,"1993-11-25 01:52:00",,14,112055,29,0,7683.3,2783.5,4899.8,,,"21.98%",,
1433303,11875,11875," 36 months","18.49%",432.24,"7 years","RENT",77000,"Charged Off","debt_consolidation","NJ",5.36,0,"2006-05-22 08:58:00",,16,10851,29,0,2170.29,1485.74,684.55,,,"18.49%",,
1438944,31825,31825," 60 months","24.83%",930.94,"8 years","MORTGAGE",80640,"Charged Off","debt_consolidation","NC",31.88,0,"1996-09-14 01:28:00",49,16,35681,34,0,6401.01,1419.23,3233.97,,,"24.83%",,
1444243,35000,35000," 36 months","23.63%",1366.36,"3 years","RENT",102000,"Charged Off","debt_consolidation","NY",24.4,0,"1998-08-08 09:49:00",,23,47101,36,0,10925.28,5802.67,5122.61,,,"23.63%",,
1450319,15250,15250," 36 months","18.49%",555.08,"10+ years","RENT",55000,"Charged Off","debt_consolidation","GA",25.88,0,"1996-06-23 01:26:00",,8,22955,16,0,1422.97,84.8,468.14,,,"18.49%",,
1456675,20375,20375," 60 months","21.98%",562.51,"9 years","MORTGAGE",85000,"Charged Off","wedding","HI",17.65,0,"2005-01-10 06:34:00",79,8,4703,22,0,6187.06,2283.77,3903.29,,,"21.98%",,
1457611,8000,8000," 36 months","12.12%",266.18,"6 years","MORTGAGE",100000,"Late (31-120 days)","debt_consolidation","TX",15.88,0,"2002-01-27 11:43:00",63,12,14624,26,4803.09,4267.69,3196.91,1055.79,,,"12.12%",,
1466502,12000,12000," 36 months","15.80%",420.71,"7 years","RENT",42000,"Late (31-120 days)","debt_consolidation","CA",30.09,0,"2002-04-02 02:44:00",44,8,5700,25,7996.57,5880.42,4003.42,1877,,,"15.80%",,
1467693,10000,10000," 36 months","7.62%",311.62,"10+ years","MORTGAGE",75000,"Late (31-120 days)","credit_card","MN",14.35,0,"1987-03-23 06:38:00",,10,24164,18,6385.05,4355.68,3614.95,740.73,,,"7.62%",,
1473282,10000,10000," 36 months","12.12%",332.72,"< 1 year","OWN",50000,"Default","debt_consolidation","TX",17.39,0,"2004-11-23 10:12:00",,8,5174,11,6800.37,4322.37,3199.63,1122.74,,,"12.12%",,
1476846,16450,16450," 60 months","19.72%",433.27,"4 years","RENT",42000,"Charged Off","debt_consolidation","CA",25.54,0,"1998-03-30 10:09:00",,12,15412,32,0,2591.16,1015.39,1575.77,,,"19.72%",,
1485171,21200,21200," 60 months","22.95%",597.03,"1 year","RENT",54000,"Late (16-30 days)","debt_consolidation","OH",31.67,0,"1995-10-15 02:06:00",71,9,30460,38,17657.29,9541.6,3542.71,5998.89,,,"22.95%",,
1487501,2375,2375," 36 months","13.11%",80.15,"n/a","OWN",8400,"Charged Off","moving","CO",2.86,0,"2007-04-23 09:50:00",,2,487,5,0,535.28,275.64,124.02,,,"13.11%",,
1488646,10400,10400," 36 months","18.49%",378.55,"1 year","OWN",132000,"Charged Off","debt_consolidation","TX",19.95,0,"1997-09-06 08:05:00",42,20,13750,57,0,1687.76,661.19,467.86,,,"18.49%",,
1489496,24125,24125," 60 months","21.00%",652.67,"3 years","MORTGAGE",62000,"Charged Off","home_improvement","CA",10.22,0,"2004-11-30 09:07:00",,9,20231,10,0,5915.17,1438.14,3125.49,,,"21.00%",,
1496712,4200,4200," 36 months","15.31%",146.24,"< 1 year","OWN",15580,"In Grace Period","major_purchase","AL",16.1,0,"2007-02-20 01:16:00",,5,4122,7,2454.08,2485.06,1745.92,739.14,,,"15.31%",,
1502384,18000,18000," 36 months","14.33%",618.09,"2 years","RENT",70000,"Charged Off","credit_card","NY",13.71,0,"2003-11-11 07:03:00",,16,16117,20,0,7416.53,5126.2,2243.72,,,"14.33%",,
1502741,4000,4000," 36 months","17.27%",143.15,"5 years","MORTGAGE",48000,"Charged Off","credit_card","IL",21.48,1,"1999-09-03 04:53:00",13,10,9425,23,0,1426.4,910.19,516.21,,,"17.27%",,
1503942,16950,16950," 60 months","17.27%",423.72,"10+ years","MORTGAGE",43000,"Charged Off","debt_consolidation","OK",26.62,0,"2000-04-01 04:23:00",,7,12588,18,0,5503.16,2547.61,2955.55,,,"17.27%",,
1504852,14000,14000," 36 months","12.12%",465.81,"< 1 year","RENT",40000,"Charged Off","credit_card","NY",4.71,0,"2007-08-26 02:46:00",,8,6635,12,0,4656.6,3394.49,1262.11,,,"12.12%",,
1512222,12850,12850," 36 months","15.31%",447.41,"6 years","RENT",41000,"Charged Off","debt_consolidation","CT",16.46,0,"1993-12-10 06:27:00",,8,18278,15,0,3800.42,2366.72,1366.97,,,"15.31%",,
1514364,15875,15875," 36 months","17.77%",572.09,"5 years","RENT",40000,"Charged Off","debt_consolidation","CA",16.68,2,"2004-10-12 09:56:00",8,15,10546,20,0,6319.1,4025.32,2293.78,,,"17.77%",,
1515836,4000,4000," 36 months","14.09%",136.89,"6 years","RENT",34000,"Charged Off","other","CA",33.56,0,"1997-05-23 09:18:00",,9,6495,14,0,361.09,89.71,46.85,,,"14.09%",,
1517434,10000,10000," 36 months","18.49%",363.99,"1 year","RENT",40000,"In Grace Period","wedding","HI",4.93,2,"2003-11-19 11:02:00",9,7,5823,22,5663.02,6594.9,4336.98,2257.92,,,"18.49%",,
1523385,10625,10625," 36 months","12.12%",353.52,"10+ years","MORTGAGE",31820,"Charged Off","debt_consolidation","WA",25.87,0,"1998-12-29 02:15:00",,10,12134,17,0,2473.52,1775.76,697.76,,,"12.12%",,
1530167,12000,12000," 36 months","12.12%",399.26,"6 years","MORTGAGE",36000,"Charged Off","debt_consolidation","CA",10.9,0,"2000-08-13 11:09:00",,5,19765,6,0,3991.9,2909.93,1081.97,,,"12.12%",,
1530718,14000,14000," 36 months","19.05%",513.54,"4 years","RENT",44000,"Charged Off","debt_consolidation","CO",25.98,0,"2006-06-13 08:02:00",,11,16155,19,0,1797.13,586.76,439.54,,,"19.05%",,
1544685,15600,15600," 36 months","13.11%",526.46,"6 years","RENT",40000,"Charged Off","debt_consolidation","WA",20.34,0,"2005-08-24 03:26:00",,9,6415,14,0,3433.09,1665.03,967.06,,,"13.11%",,
1546367,7200,7200," 36 months","13.11%",242.98,"5 years","MORTGAGE",35000,"Charged Off","debt_consolidation","UT",16.39,0,"2001-02-17 08:47:00",,6,18770,14,0,2669.26,1907.05,762.21,,,"13.11%",,
1550241,15000,15000," 36 months","18.49%",545.99,"10+ years","RENT",48258,"Late (16-30 days)","debt_consolidation","LA",23.3,0,"1998-12-01 03:38:00",54,11,5631,25,9359.45,8734.86,5640.54,3094.32,,,"18.49%",,
784712,16500,16500," 60 months","7.90%",333.78,"2 years","MORTGAGE",42000,"Late (31-120 days)","small_business","NY",10.43,0,"1993-07-16 08:41:00",,9,2229,17,12966.64,5000.85,3533.36,1467.49,,,"7.90%",,
1063649,17500,16800," 60 months","22.74%",471.1,"6 years","MORTGAGE",95000,"Charged Off","debt_consolidation","WA",24.78,0,"2002-01-30 07:50:00",,12,23722,23,0,4704.9,1662.3,3042.6,,,"22.74%",,
1076701,25500,25500," 60 months","13.49%",586.62,"10+ years","MORTGAGE",51000,"Late (16-30 days)","small_business","FL",8.92,0,"2001-02-18 07:06:00",,18,6295,31,17391.62,14076.23,8108.38,5967.85,,,"13.49%",,
1078753,18000,18000," 60 months","19.42%",471.1,"10+ years","MORTGAGE",46460,"Charged Off","other","NC",12.91,0,"1998-03-06 08:08:00",24,7,7804,30,0,8008.04,3479.21,4513.34,,,"19.42%",,
1081415,12600,12600," 60 months","12.42%",282.97,"n/a","MORTGAGE",25200,"Charged Off","major_purchase","AZ",0.71,0,"1992-07-09 05:53:00",,7,83,15,0,3690.81,2107.87,1567.95,,,"12.42%",,
1083892,35000,35000," 60 months","12.69%",790.82,"6 years","MORTGAGE",68000,"Charged Off","other","DE",8.58,0,"1985-10-16 10:52:00",,16,7504,36,0,11859.91,6779.62,5080.29,,,"12.69%",,
1085272,28000,28000," 36 months","7.90%",876.13,"3 years","MORTGAGE",180000,"Late (31-120 days)","home_improvement","CT",7.6,0,"1995-05-08 07:05:00",81,13,202,23,13187.95,17772.32,14812.05,2960.27,,,"7.90%",,
1090787,4500,4500," 36 months","16.29%",158.86,"6 years","RENT",55000,"Charged Off","debt_consolidation","CA",15.19,0,"2000-12-01 01:01:00",28,4,5152,25,0,3016.44,2101.76,914.68,,,"16.29%",,
1098911,6625,6625," 36 months","11.71%",219.13,"< 1 year","RENT",25000,"Charged Off","debt_consolidation","NC",21.74,0,"1995-10-05 08:45:00",29,9,7626,22,0,3725.23,2639.1,842.74,,,"11.71%",,
1099657,16000,16000," 60 months","19.91%",423.11,"10+ years","MORTGAGE",88000,"Late (31-120 days)","debt_consolidation","IL",23.09,0,"2000-03-13 08:26:00",,15,21273,34,11634.6,9718.65,4365.4,5353.25,,,"19.91%",,
1106874,20000,20000," 36 months","11.71%",661.52,"2 years","RENT",45000,"In Grace Period","debt_consolidation","CA",15.92,0,"2002-02-03 06:38:00",,9,23736,12,7145.65,16120.06,12854.35,3265.71,,,"11.71%",,
1108424,13800,13800," 60 months","16.77%",341.27,"10+ years","RENT",42000,"Late (31-120 days)","credit_card","OH",20.47,0,"2005-09-17 12:11:00",,6,8846,10,10414.67,7024.66,3385.33,3639.33,,,"16.77%",,
1109782,18000,18000," 60 months","17.58%",452.98,"5 years","RENT",72000,"Late (31-120 days)","debt_consolidation","CT",17.72,0,"1992-11-19 08:27:00",,12,29513,38,13396.14,9489.69,4603.87,4885.82,,,"17.58%",,
1111836,6400,6400," 36 months","7.51%",199.11,"4 years","RENT",54000,"Charged Off","debt_consolidation","CA",9.44,0,"2001-08-12 12:33:00",,6,18529,18,0,1587.28,1296.1,291.18,,,"7.51%",,
1120853,2400,2400," 36 months","9.91%",77.34,"4 years","OWN",62000,"Late (31-120 days)","debt_consolidation","FL",15.66,0,"1998-08-05 06:01:00",75,7,4704,19,1213.9,1557.61,1186.1,356.58,,,"9.91%",,
1132995,5000,5000," 36 months","13.49%",169.66,"< 1 year","RENT",80000,"Charged Off","debt_consolidation","FL",9.66,0,"2005-08-06 07:34:00",,4,4070,14,0,1914.72,1186.56,499.94,,,"13.49%",,
1141122,8000,8000," 36 months","15.96%",281.1,"3 years","RENT",42000,"Charged Off","credit_card","NY",6.91,0,"1995-01-06 02:22:00",40,10,8311,31,0,6329.18,4958.62,1370.56,,,"15.96%",,
1147615,10000,10000," 36 months","12.12%",332.72,"10+ years","MORTGAGE",41252,"Charged Off","credit_card","FL",16.47,0,"1998-10-24 11:02:00",,7,19756,25,0,1661.5,1180.75,480.75,,,"12.12%",,
1149277,16000,16000," 36 months","10.74%",521.86,"< 1 year","RENT",65000,"Charged Off","debt_consolidation","NY",23.82,0,"1997-09-28 11:12:00",,16,31372,31,0,4689.09,3526.77,1162.32,,,"10.74%",,
1149852,10200,10200," 36 months","13.67%",346.98,"8 years","MORTGAGE",90000,"Charged Off","credit_card","CA",9.33,0,"1996-10-05 12:39:00",74,9,5380,27,0,2917.75,1671.09,756.79,,,"13.67%",,
1150404,13000,13000," 36 months","7.90%",406.78,"4 years","RENT",45000,"Charged Off","small_business","CA",2.14,0,"2001-06-10 02:05:00",26,6,3182,13,0,2299.06,1296.99,329.45,,,"7.90%",,
1154764,8400,8400," 36 months","17.27%",300.62,"8 years","RENT",48000,"Charged Off","debt_consolidation","CA",16.16,1,"2001-07-13 09:06:00",14,10,3348,27,0,3666.79,2116.32,1180.26,,,"17.27%",,
1165617,15000,15000," 36 months","13.11%",506.21,"< 1 year","MORTGAGE",35000,"Charged Off","debt_consolidation","FL",14.26,0,"1999-01-06 02:56:00",,5,13451,7,0,2527.55,1747.07,780.48,,,"13.11%",,
1169590,16950,16950," 60 months","20.99%",458.46,"< 1 year","RENT",34000,"Charged Off","debt_consolidation","NY",20.54,0,"2004-12-14 06:38:00",,5,31598,9,0,4561.78,1372.36,2280.36,,,"20.99%",,
